,0
0,Connecticut
1,Georgia
2,Hawaii
3,Idaho
4,Illinois
5,Indiana
6,Iowa
7,Louisiana
8,Maine
9,Maryland
10,Massachusetts
11,Minnesota
12,Mississippi
13,Montana
14,Nebraska
15,Nevada
16,New Hampshire
17,North Dakota
18,Oklahoma
19,Oregon
20,Pennsylvania
21,Rhode Island
22,South Dakota
23,Vermont
24,Wisconsin
